DataElementId,Collection,Collection Data Element Number,Collection Frame,Classification,Data Element,Definition,Collection Short Name,Population,Coding Data  Type,Size,Coding Format,Guide for Use,System Requirements,Standards Used,Related Items,Rules,Comments,Authoritative Source,Where used or published,Custodian of DataSet,Reference to Standards,SIF Object,SIF Element,Data Element Type,SIFFrame,Able to be mapped at RAW
39,NSSC NIT,,Table 22A,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,N.NN,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

 The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
40,NSSC NIT,,Table 22A,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
41,NSSC NIT,,Table 22A,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
42,NSSC NIT,,Table 22A,Aggregate,Age,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/BirthDate,,,
43,NSSC NIT,,Table 22A,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
44,NSSC NIT,,Table 22B,Aggregate,Number of students,"Table showing number of students - Full-time, non-ATSI, F by age and year level.
STUDENT - A student is a person who is formally (officially) enrolled or registered at a school and who is also active in a primary, secondary or special education program at that school.  ",,,,,,"Attributes: Full time; Female; Non-Aboriginal and Torres Strait Islander;
By Age, Year  and level of education",,,,"Exclude persons who have only completed enrolment procedures at the school.
Exclude persons who have left the school (e.g. have ceased education or changed schools), or have been absent without explanation for four continuous weeks (excluding school vacations), prior to the Census date.
A student who attends one school but is formally enrolled at another is to be counted only at the school at which he'she is formally enrolled.
Students undertaking ""home schooling"" are only included if they are also formally enrolled and active in a course of study at an in-scope establishment.  No part of their home schooling should be included inthe NSSC figures.",,School enrolling student,,Australian Bureau of Statistics,,,,,,Yes
45,NSSC NIT,,Table 22B,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,N.NN,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

 The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
46,NSSC NIT,,Table 22B,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
47,NSSC NIT,,Table 22B,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
48,NSSC NIT,,Table 22B,Aggregate,Age,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/BirthDate,,,
49,NSSC NIT,,Table 22B,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
50,NSSC NIT,,Table 22C,Aggregate,Number of students,"Table showing number of students - Full-time, ATSI -notstated, F by age and year level.
STUDENT - A student is a person who is formally (officially) enrolled or registered at a school and who is also active in a primary, secondary or special education program at that school.  ",,,,,,"Attributes: Full time; Female; Aboriginal and Torres Strait Islander-Not Stated;
By Age, Year  and level of education",,,,"Exclude persons who have only completed enrolment procedures at the school.
Exclude persons who have left the school (e.g. have ceased education or changed schools), or have been absent without explanation for four continuous weeks (excluding school vacations), prior to the Census date.
A student who attends one school but is formally enrolled at another is to be counted only at the school at which he'she is formally enrolled.
Students undertaking ""home schooling"" are only included if they are also formally enrolled and active in a course of study at an in-scope establishment.  No part of their home schooling should be included inthe NSSC figures.",,School enrolling student,,Australian Bureau of Statistics,,,,,,Yes
51,NSSC NIT,,Table 22C,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,N.NN,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

 The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
52,NSSC NIT,,Table 22C,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
53,NSSC NIT,,Table 22C,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
54,NSSC NIT,,Table 22C,Aggregate,Age,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/BirthDate,,,
55,NSSC NIT,,Table 22C,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
56,NSSC NIT,,Table 24A,Aggregate,Number of students,"Table showing number of students - Part-time, ATSI, Male, Female, by age and year level.
STUDENT - A student is a person who is formally (officially) enrolled or registered at a school and who is also active in a primary, secondary or special education program at that school.  ",,,,,,"Attributes:Part time; Male; Female; Aboriginal and Torres Strait Islander;
By Age, Year  and level of education",,,,"Exclude persons who have only completed enrolment procedures at the school.
Exclude persons who have left the school (e.g. have ceased education or changed schools), or have been absent without explanation for four continuous weeks (excluding school vacations), prior to the Census date.
A student who attends one school but is formally enrolled at another is to be counted only at the school at which he'she is formally enrolled.
Students undertaking ""home schooling"" are only included if they are also formally enrolled and active in a course of study at an in-scope establishment.  No part of their home schooling should be included inthe NSSC figures.",,School enrolling student,,Australian Bureau of Statistics,,,,,,Yes
57,NSSC NIT,,Table 24A,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,N.NN,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

 The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
58,NSSC NIT,,Table 24A,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
59,NSSC NIT,,Table 24A,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
60,NSSC NIT,,Table 24A,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
61,NSSC NIT,,Table 24A,Aggregate,Number of students,"Table showing number of students - Part-time, non-ATSI, Male, Female, by age and year level",,,,,,"Attributes:Part time; Male; Female; Aboriginal and Torres Strait Islander;
By Age, Year  and level of education",,,,"Exclude persons who have only completed enrolment procedures at the school.
Exclude persons who have left the school (e.g. have ceased education or changed schools), or have been absent without explanation for four continuous weeks (excluding school vacations), prior to the Census date.
A student who attends one school but is formally enrolled at another is to be counted only at the school at which he'she is formally enrolled.
Students undertaking ""home schooling"" are only included if they are also formally enrolled and active in a course of study at an in-scope establishment.  No part of their home schooling should be included inthe NSSC figures.",,School enrolling student,,Australian Bureau of Statistics,,,,,,Yes
62,NSSC NIT,,Table 24A,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,N.NN,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

 The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
63,NSSC NIT,,Table 24A,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
64,NSSC NIT,,Table 24A,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
65,NSSC NIT,,Table 24A,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
66,NSSC NIT,,Table 24A,Aggregate,Number of students,"Table showing number of students - Part-time, ATSI-not stated, Male, Female, by age and year level.
STUDENT - A student is a person who is formally (officially) enrolled or registered at a school and who is also active in a primary, secondary or special education program at that school.  ",,,,,,"Attributes:Part time; Male; Female; Aboriginal and Torres Strait Islander;
By Age, Year  and level of education",,,,,,School enrolling student,,Australian Bureau of Statistics,,,,,,Yes
67,NSSC NIT,,Table 24A,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,N.NN,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

 The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
68,NSSC NIT,,Table 24A,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
69,NSSC NIT,,Table 24A,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
70,NSSC NIT,,Table 24A,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
71,NSSC NIT,,Table 25A,Aggregate,Number of students,"Table showing number of students - Part-time,ATSI,M by age and year level.
STUDENT - A student is a person who is formally (officially) enrolled or registered at a school and who is also active in a primary, secondary or special education program at that school.  ",,,,,,"Attributes: Part time; Male; Aboriginal and Torres Strait Islander;
By Age, Year  and level of education",,,,"Exclude persons who have only completed enrolment procedures at the school.
Exclude persons who have left the school (e.g. have ceased education or changed schools), or have been absent without explanation for four continuous weeks (excluding school vacations), prior to the Census date.
A student who attends one school but is formally enrolled at another is to be counted only at the school at which he'she is formally enrolled.
Students undertaking ""home schooling"" are only included if they are also formally enrolled and active in a course of study at an in-scope establishment.  No part of their home schooling should be included inthe NSSC figures.",,School enrolling student,,Australian Bureau of Statistics,,,,,,Yes
72,NSSC NIT,,Table 25A,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,N.NN,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

 The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
